Unit,Type,Question,Pre Correct,Pre Incorrect,Post Correct,Post Incorrect
2,A,1.A,62,59,94,18
2,A,1.B,60,61,95,16
2,A,1.C,105,16,106,6
2,A,1.D,95,26,106,6
2,A,1.E,109,12,107,5
2,A,1.F,87,34,102,10
2,A,2.A,66,55,98,14
2,A,2.B,62,59,91,21
2,A,3.A,82,39,96,16
2,A,3.B,89,32,105,7
2,A,3.C,81,40,98,14
2,A,3.D,79,42,88,24
2,A,4,14,107,40,72
2,A,5.A,0,121,40,72
2,A,5.B,0,121,36,76
2,A,5.C,0,121,31,81
2,A,5.D,0,121,31,81
2,A,5.E,0,121,31,81
2,A,5.F,0,121,31,81
2,A,5.G,0,121,31,81
2,A,5.H,0,121,30,82
2,A,5.I,0,121,30,82
2,A,5.J,0,121,35,77
2,A,5.K,0,121,35,77
2,A,6.A,40,81,46,66
2,A,6.B,3,118,27,85
2,A,7.A,24,97,55,57
2,A,7.B,23,98,55,57
2,A,8.A,10,111,49,63
2,A,8.B,1,120,28,84
2,B,1.A,61,53,100,17
2,B,1.B,64,50,103,14
2,B,1.C,94,20,115,2
2,B,1.D,86,28,110,7
2,B,1.E,105,9,108,9
2,B,1.F,83,31,111,6
2,B,2.A,60,54,87,30
2,B,2.B,52,62,96,21
2,B,3.A,76,38,101,16
2,B,3.B,90,24,99,18
2,B,3.C,81,33,95,22
2,B,3.D,94,20,102,15
2,B,4,21,93,49,68
2,B,5.A,0,114,42,75
2,B,5.B,0,114,39,78
2,B,5.C,0,114,32,85
2,B,5.D,0,114,32,85
2,B,5.E,4,110,32,85
2,B,5.F,2,112,32,85
2,B,5.G,0,114,32,85
2,B,5.H,0,114,32,85
2,B,5.I,0,114,32,85
2,B,5.J,0,114,36,81
2,B,5.K,0,114,36,81
2,B,6.A,53,61,76,41
2,B,6.B,10,104,35,82
2,B,7.A,27,87,51,66
2,B,7.B,24,90,51,66
2,B,8.A,21,93,50,67
2,B,8.B,9,105,36,81
4,A,1.A,82,41,113,17
4,A,1.B,79,44,111,19
4,A,1.C,77,46,114,16
4,A,1.D,42,81,67,62
4,A,1.E,38,85,69,61
4,A,1.F,44,79,77,53
4,A,2.A,66,56,94,36
4,A,2.B,59,64,94,36
4,A,3.A,33,89,72,58
4,A,3.B,31,92,67,63
4,A,3.C,51,72,93,37
4,A,3.D,49,74,92,38
4,A,3.E,48,75,91,39
4,A,3.F,42,80,90,40
4,A,3.G,12,111,59,71
4,A,3.H,30,93,68,62
4,A,3.I,43,80,77,53
4,A,3.J,21,102,67,63
4,A,4.A,52,70,67,63
4,A,4.B,56,66,60,70
4,A,5.A,50,73,75,55
4,A,5.B,17,105,28,102
4,B,1.A,81,44,112,14
4,B,1.B,83,42,110,16
4,B,1.C,74,51,113,13
4,B,1.D,29,96,59,67
4,B,1.E,31,94,74,52
4,B,1.F,40,85,88,38
4,B,2.A,64,61,90,36
4,B,2.B,57,68,84,42
4,B,3.A,31,94,78,48
4,B,3.B,34,91,72,54
4,B,3.C,62,63,98,28
4,B,3.D,64,61,99,27
4,B,3.E,63,62,96,30
4,B,3.F,53,72,76,50
4,B,3.G,14,111,68,58
4,B,3.H,31,94,71,55
4,B,3.I,36,89,78,48
4,B,3.J,22,103,69,57
4,B,4.A,53,72,71,55
4,B,4.B,60,65,62,64
4,B,5.A,49,76,84,42
4,B,5.B,18,107,27,99
